packNumber,slot,cardNumber,cardName,rarity,variant,category
1,common1,005,"Seedot",Common,null,Pokemon
1,common2,024,"Psyduck",Common,null,Pokemon
1,common3,022,"Litleo",Common,null,Pokemon
1,common4,039,"Luvdisc",Common,null,Pokemon
1,common5,017,"Applin",Common,null,Pokemon
1,uncommon1,033,"Lombre",Uncommon,null,Pokemon
1,uncommon2,055,"Flaaffy",Uncommon,null,Pokemon
1,uncommon3,151,"Moon & Sun Badge",Uncommon,null,Trainer
1,reverse,146,"Dream Ball",Uncommon,null,Trainer
1,rare,056,"Ampharos",Rare,null,Pokemon
2,common1,037,"Feebas",Common,null,Pokemon
2,common2,011,"Dwebble",Common,null,Pokemon
2,common3,049,"Pikachu",Common,null,Pokemon
2,common4,009,"Petilil",Common,null,Pokemon
2,common5,017,"Applin",Common,null,Pokemon
2,uncommon1,161,"Stormy Mountains",Uncommon,null,Trainer
2,uncommon2,143,"Copycat",Uncommon,null,Trainer
2,uncommon3,146,"Dream Ball",Uncommon,null,Trainer
2,reverse,046,"Wishiwashi",Rare,null,Pokemon
2,rare,215,"Umbreon VMAX",VMAX,VMAX,Pokemon
3,common1,049,"Pikachu",Common,null,Pokemon
3,common2,024,"Psyduck",Common,null,Pokemon
3,common3,017,"Applin",Common,null,Pokemon
3,common4,043,"Cryogonal",Common,null,Pokemon
3,common5,005,"Seedot",Common,null,Pokemon
3,uncommon1,149,"Gordie",Uncommon,null,Trainer
3,uncommon2,141,"Aroma Lady",Uncommon,null,Trainer
3,uncommon3,142,"Boost Shake",Uncommon,null,Trainer
3,reverse,150,"Lucky Ice Pop",Uncommon,null,Trainer
3,rare,006,"Tropius",Rare,null,Pokemon
4,common1,057,"Emolga",Common,null,Pokemon
4,common2,026,"Tentacool",Common,null,Pokemon
4,common3,009,"Petilil",Common,null,Pokemon
4,common4,037,"Feebas",Common,null,Pokemon
4,common5,039,"Luvdisc",Common,null,Pokemon
4,uncommon1,164,"Zinnia’s Resolve",Uncommon,null,Trainer
4,uncommon2,053,"Lanturn",Uncommon,null,Pokemon
4,uncommon3,150,"Lucky Ice Pop",Uncommon,null,Trainer
4,reverse,042,"Tympole",Common,null,Pokemon
4,rare,004,"Jumpluff",Rare,null,Pokemon
5,common1,026,"Tentacool",Common,null,Pokemon
5,common2,057,"Emolga",Common,null,Pokemon
5,common3,035,"Carvanha",Common,null,Pokemon
5,common4,054,"Mareep",Common,null,Pokemon
5,common5,015,"Gossifleur",Common,null,Pokemon
5,uncommon1,149,"Gordie",Uncommon,null,Trainer
5,uncommon2,033,"Lombre",Uncommon,null,Pokemon
5,uncommon3,165,"Treasure Energy",Uncommon,null,Energy
5,reverse,024,"Psyduck",Common,null,Pokemon
5,rare,056,"Ampharos",Rare,null,Pokemon
6,common1,054,"Mareep",Common,null,Pokemon
6,common2,005,"Seedot",Common,null,Pokemon
6,common3,015,"Gossifleur",Common,null,Pokemon
6,common4,044,"Bergmite",Common,null,Pokemon
6,common5,011,"Dwebble",Common,null,Pokemon
6,uncommon1,012,"Crustle",Uncommon,null,Pokemon
6,uncommon2,165,"Treasure Energy",Uncommon,null,Energy
